,Title,IMDB id,Year,Rating,Genre,Top_cast
291,Patiala House,tt1535467,2011,5.6,"Drama, Sport ","Rishi Kapoor, Dimple Kapadia, Akshay Kumar  "
292,Trapped,tt3561180,2015,8.0,"Crime, Drama, Mystery, Thriller","Ólafur Darri Ólafsson, Ilmur Kristjánsdóttir, ...  "
293,Vivah,tt0494290,2006,6.6,"Drama, Musical, Romance","Shahid Kapoor, Amrita Rao, Anupam Kher  "
294,Son of Sardaar,tt2178508,2012,4.2,"Action, Comedy, Romance","Ajay Devgn, Sanjay Dutt, Sonakshi Sinha "
295,Jagga Jasoos,tt4129428,2017,6.4,"Action, Adventure, Comedy, Musical, Mystery","Ranbir Kapoor, Katrina Kaif, Saswata Chatterjee  "
296,Hichki,tt6588966,2018,7.5," Comedy, Drama","Rani Mukerji, Neeraj Kabi, Pankaj Anand  "
297,Ladies vs. Ricky Bahl,tt1954598,2011,6.0,"Comedy, Crime, Drama, Romance  ","Ranveer Singh, Anushka Sharma, Parineeti Chopra  "
298,The Dirty Picture,tt1954206,2011,6.6,"Biography, Comedy, Drama, Musical, Romance","Vidya Balan, Emraan Hashmi, Tusshar Kapoor  "
299,Yuva,tt0382383,2004,7.3,"Action, Drama, Thriller","Ajay Devgn, Abhishek Bachchan, Rani Mukerji  "
300,Maqbool,tt0379370,2003,8.0,"Crime, Drama, Thriller"," Irrfan Khan, Tabu, Pankaj Kapur "
301,Phantom,tt3469244,2015,5.9,"Action, Drama, Thriller","Saif Ali Khan, Katrina Kaif, Sabyasachi Chakrabarty"
302,Salaam Bombay!,tt0096028,1988,7.9," Crime, Drama","Shafiq Syed, Anjaan, Amrit Patel  "
303,Mother India,tt0050188,1957,7.8," Action, Comedy, Drama, Family, Musical","Nargis, Sunil Dutt, Rajendra Kumar Tuli  "
304,Agneepath,tt1849718,2012,6.9,"Action, Crime, Drama ","Hrithik Roshan, Priyanka Chopra Jonas, Sanjay ...  "
305,Koyla,tt0136352,1997,6.2,"Action, Drama, Musical, Romance, Thriller","Shah Rukh Khan, Madhuri Dixit, Amrish Puri  "
306,Baaghi 2,tt6843812,2018,4.8,"Action, Crime, Drama, Mystery, Thriller","Disha Patani, Jacqueline Fernandez, Tiger Shroff  "
